Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Alexandria Bay,New York,708,US-Canada Border,Apr 2025,Buses,48,44.347,-75.984,POINT (-75.983592 44.347229)
Norton,Vermont,211,US-Canada Border,Apr 2025,Truck Containers Empty,105,45.011,-71.793,POINT (-71.793219 45.010771)
Champlain Rouses Point,New York,712,US-Canada Border,Apr 2025,Pedestrians,24,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Fort Kent,Maine,110,US-Canada Border,Apr 2025,Truck Containers Loaded,11,47.249,-68.604,POINT (-68.603918 47.249206)
Madawaska,Maine,109,US-Canada Border,Apr 2025,Truck Containers Loaded,384,47.36,-68.329,POINT (-68.328684 47.360052)
Northgate,North Dakota,3406,US-Canada Border,Apr 2025,Trains,25,48.999,-102.275,POINT (-102.27475 48.998833)
Skagway,Alaska,3103,US-Canada Border,Apr 2025,Trucks,185,59.63,-135.164,POINT (-135.164444 59.629722)
Portal,North Dakota,3403,US-Canada Border,Apr 2025,Bus Passengers,44,48.999,-102.552,POINT (-102.551944 48.998944)
San Ysidro,California,2504,US-Mexico Border,Apr 2025,Buses,4571,32.543,-117.029,POINT (-117.028761 32.542528)
Grand Portage,Minnesota,3613,US-Canada Border,Apr 2025,Truck Containers Loaded,983,48.001,-89.585,POINT (-89.58515 48.001427)
Sweetgrass,Montana,3310,US-Canada Border,Apr 2025,Rail Containers Loaded,1508,48.998,-111.96,POINT (-111.959611 48.998388)
Eastport,Idaho,3302,US-Canada Border,Apr 2025,Personal Vehicle Passengers,8071,49.001,-116.181,POINT (-116.181027 49.000555)
Roseau,Minnesota,3426,US-Canada Border,Apr 2025,Trucks,204,49.0,-95.766,POINT (-95.766469 48.999538)
Alexandria Bay,New York,708,US-Canada Border,Apr 2025,Truck Containers Loaded,23340,44.347,-75.984,POINT (-75.983592 44.347229)
Massena,New York,704,US-Canada Border,Apr 2025,Buses,172,44.991,-74.74,POINT (-74.739722 44.990556)
Maida,North Dakota,3416,US-Canada Border,Apr 2025,Trucks,1,49.0,-98.365,POINT (-98.36525 49.00025)
