Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Westhope,North Dakota,3419,US-Canada Border,Apr 2025,Trucks,101,49.0,-101.017,POINT (-101.017277 48.999611)
Rio Grande City,Texas,2307,US-Mexico Border,Apr 2025,Truck Containers Loaded,5290,26.366,-98.803,POINT (-98.802513 26.365761)
Trout River,New York,715,US-Canada Border,Apr 2025,Rail Containers Loaded,1877,44.992,-74.308,POINT (-74.308172 44.992058)
Jackman,Maine,104,US-Canada Border,Apr 2025,Buses,2,45.806,-70.397,POINT (-70.396722 45.805661)
Skagway,Alaska,3103,US-Canada Border,Apr 2025,Bus Passengers,4086,59.63,-135.164,POINT (-135.164444 59.629722)
Del Rio,Texas,2302,US-Mexico Border,Apr 2025,Personal Vehicles,141030,29.327,-100.928,POINT (-100.927612 29.326784)
San Ysidro,California,2504,US-Mexico Border,Apr 2025,Bus Passengers,28589,32.543,-117.029,POINT (-117.028761 32.542528)
Vanceboro,Maine,105,US-Canada Border,Apr 2025,Trucks,22,45.569,-67.429,POINT (-67.428541 45.568761)
Morgan,Montana,3319,US-Canada Border,Apr 2025,Truck Containers Empty,18,49.0,-107.832,POINT (-107.831819 48.999829)
Alexandria Bay,New York,708,US-Canada Border,Apr 2025,Truck Containers Empty,2050,44.347,-75.984,POINT (-75.983592 44.347229)
Dunseith,North Dakota,3422,US-Canada Border,Apr 2025,Truck Containers Empty,220,48.999,-100.052,POINT (-100.052166 48.999277)
Massena,New York,704,US-Canada Border,Apr 2025,Personal Vehicle Passengers,108092,44.991,-74.74,POINT (-74.739722 44.990556)
Boundary,Washington,3015,US-Canada Border,Apr 2025,Rail Containers Loaded,568,49.001,-117.628,POINT (-117.627583 49.00075)
Laurier,Washington,3016,US-Canada Border,Apr 2025,Rail Containers Loaded,76,49.0,-118.224,POINT (-118.223777 49.000083)
Detroit,Michigan,3801,US-Canada Border,Apr 2025,Personal Vehicle Passengers,429071,42.332,-83.048,POINT (-83.047924 42.331685)
Roseau,Minnesota,3426,US-Canada Border,Apr 2025,Personal Vehicle Passengers,2633,49.0,-95.766,POINT (-95.766469 48.999538)
Dalton Cache,Alaska,3106,US-Canada Border,Apr 2025,Truck Containers Empty,48,59.451,-136.362,POINT (-136.361944 59.450556)
Santa Teresa,New Mexico,2408,US-Mexico Border,Apr 2025,Personal Vehicles,55382,31.784,-106.679,POINT (-106.679437 31.783939)
Nogales,Arizona,2604,US-Mexico Border,Apr 2025,Bus Passengers,18478,31.333,-110.943,POINT (-110.942516 31.332839)
Pinecreek,Minnesota,3425,US-Canada Border,Apr 2025,Personal Vehicles,132,49.0,-95.978,POINT (-95.977694 48.999916)
Calexico East,California,2507,US-Mexico Border,Apr 2025,Train Passengers,21,32.673,-115.388,POINT (-115.388018 32.673389)
Kenneth G Ward,Washington,3023,US-Canada Border,Apr 2025,Buses,2,49.002,-122.485,POINT (-122.485027 49.002277)
Oroville,Washington,3019,US-Canada Border,Apr 2025,Trucks,1798,49.0,-119.462,POINT (-119.461833 49.000083)
Frontier,Washington,3020,US-Canada Border,Apr 2025,Buses,8,49.0,-117.832,POINT (-117.831527 49.0005)
Pembina,North Dakota,3401,US-Canada Border,Apr 2025,Trains,83,49.0,-97.237,POINT (-97.237036 49.000453)
Champlain Rouses Point,New York,712,US-Canada Border,Apr 2025,Rail Containers Loaded,2947,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
El Paso,Texas,2402,US-Mexico Border,Apr 2025,Trains,113,31.764,-106.451,POINT (-106.451188 31.764363)
Lancaster,Minnesota,3430,US-Canada Border,Apr 2025,Trucks,232,49.0,-96.801,POINT (-96.800527 49.000194)
Buffalo Niagara Falls,New York,901,US-Canada Border,Apr 2025,Bus Passengers,13417,43.095,-79.056,POINT (-79.055847 43.09549)
Progreso,Texas,2309,US-Mexico Border,Apr 2025,Truck Containers Empty,1800,26.062,-97.95,POINT (-97.949958 26.062133)
Willow Creek,Montana,3325,US-Canada Border,Apr 2025,Personal Vehicles,131,49.0,-109.731,POINT (-109.731333 48.999972)
Eagle Pass,Texas,2303,US-Mexico Border,Apr 2025,Pedestrians,98166,28.705,-100.512,POINT (-100.511977 28.705483)
Port Huron,Michigan,3802,US-Canada Border,Apr 2025,Rail Containers Loaded,17311,42.999,-82.424,POINT (-82.423611 42.998611)
Sumas,Washington,3009,US-Canada Border,Apr 2025,Truck Containers Empty,3817,49.002,-122.265,POINT (-122.264805 49.002388)
Tecate,California,2505,US-Mexico Border,Apr 2025,Truck Containers Loaded,5236,32.576,-116.626,POINT (-116.626216 32.576428)
Otay Mesa,California,2506,US-Mexico Border,Apr 2025,Train Passengers,51,32.55,-116.939,POINT (-116.938538 32.55033)
Scobey,Montana,3309,US-Canada Border,Apr 2025,Trucks,40,49.0,-105.408,POINT (-105.407638 48.999527)
Porthill,Idaho,3308,US-Canada Border,Apr 2025,Pedestrians,22,49.0,-116.499,POINT (-116.49925 48.999861)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Apr 2025,Trucks,2631,46.509,-84.361,POINT (-84.360833 46.508611)
Pembina,North Dakota,3401,US-Canada Border,Apr 2025,Truck Containers Empty,3869,49.0,-97.237,POINT (-97.237036 49.000453)
Roosville,Montana,3318,US-Canada Border,Apr 2025,Truck Containers Empty,149,49.0,-115.056,POINT (-115.056027 48.999638)
Sweetgrass,Montana,3310,US-Canada Border,Apr 2025,Truck Containers Empty,2154,48.998,-111.96,POINT (-111.959611 48.998388)
Presidio,Texas,2403,US-Mexico Border,Apr 2025,Personal Vehicles,61121,29.562,-104.395,POINT (-104.394907 29.561827)
Eastport,Maine,103,US-Canada Border,Apr 2025,Personal Vehicle Passengers,12080,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Turner,Montana,3306,US-Canada Border,Apr 2025,Truck Containers Loaded,16,49.0,-108.388,POINT (-108.387916 48.999527)
Calais,Maine,115,US-Canada Border,Apr 2025,Truck Containers Empty,1202,45.189,-67.275,POINT (-67.275381 45.188548)
Sarles,North Dakota,3409,US-Canada Border,Apr 2025,Truck Containers Loaded,7,49.0,-98.938,POINT (-98.938361 49.000027)
Metaline Falls,Washington,3025,US-Canada Border,Apr 2025,Buses,3,49.0,-117.299,POINT (-117.299444 48.999972)
Sherwood,North Dakota,3414,US-Canada Border,Apr 2025,Truck Containers Loaded,16,48.999,-101.628,POINT (-101.627527 48.999305)
Trout River,New York,715,US-Canada Border,Apr 2025,Truck Containers Loaded,809,44.992,-74.308,POINT (-74.308172 44.992058)
Portal,North Dakota,3403,US-Canada Border,Apr 2025,Rail Containers Empty,8735,48.999,-102.552,POINT (-102.551944 48.998944)
Westhope,North Dakota,3419,US-Canada Border,Apr 2025,Personal Vehicle Passengers,446,49.0,-101.017,POINT (-101.017277 48.999611)
Skagway,Alaska,3103,US-Canada Border,Apr 2025,Truck Containers Loaded,98,59.63,-135.164,POINT (-135.164444 59.629722)
Ogdensburg,New York,701,US-Canada Border,Apr 2025,Truck Containers Loaded,5444,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Detroit,Michigan,3801,US-Canada Border,Apr 2025,Train Passengers,332,42.332,-83.048,POINT (-83.047924 42.331685)
Vanceboro,Maine,105,US-Canada Border,Apr 2025,Train Passengers,80,45.569,-67.429,POINT (-67.428541 45.568761)
Algonac,Michigan,3814,US-Canada Border,Apr 2025,Personal Vehicles,1422,42.618,-82.531,POINT (-82.5311 42.6183)
Champlain Rouses Point,New York,712,US-Canada Border,Apr 2025,Trucks,21712,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Richford,Vermont,203,US-Canada Border,Apr 2025,Train Passengers,25,45.012,-72.589,POINT (-72.588559 45.01174)
Blaine,Washington,3004,US-Canada Border,Apr 2025,Personal Vehicles,174280,48.994,-122.749,POINT (-122.748884 48.994045)
Lukeville,Arizona,2602,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,75485,31.88,-112.817,POINT (-112.817077 31.880195)
Point Roberts,Washington,3017,US-Canada Border,Apr 2025,Bus Passengers,297,49.002,-123.068,POINT (-123.068055556 49.0020555547)
San Luis,Arizona,2608,US-Mexico Border,Apr 2025,Trucks,3440,32.485,-114.782,POINT (-114.7822222 32.485)
Columbus,New Mexico,2406,US-Mexico Border,Apr 2025,Personal Vehicles,34449,31.784,-107.628,POINT (-107.627948 31.783742)
Brownsville,Texas,2301,US-Mexico Border,Apr 2025,Truck Containers Empty,12844,25.952,-97.401,POINT (-97.40067 25.95155)
Champlain Rouses Point,New York,712,US-Canada Border,Apr 2025,Truck Containers Loaded,33550,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Laredo,Texas,2304,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,835444,27.5,-99.507,POINT (-99.507412 27.499561)
Fort Fairfield,Maine,107,US-Canada Border,Apr 2025,Personal Vehicles,3910,46.765,-67.789,POINT (-67.789471 46.765323)
Calexico East,California,2507,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,401199,32.673,-115.388,POINT (-115.388018 32.673389)
Fort Kent,Maine,110,US-Canada Border,Apr 2025,Personal Vehicle Passengers,6236,47.249,-68.604,POINT (-68.603918 47.249206)
Alcan,Alaska,3104,US-Canada Border,Apr 2025,Truck Containers Empty,448,62.615,-141.001,POINT (-141.001444 62.614961)
Grand Portage,Minnesota,3613,US-Canada Border,Apr 2025,Personal Vehicle Passengers,11641,48.001,-89.585,POINT (-89.58515 48.001427)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Apr 2025,Train Passengers,60,46.509,-84.361,POINT (-84.360833 46.508611)
Laurier,Washington,3016,US-Canada Border,Apr 2025,Truck Containers Loaded,1064,49.0,-118.224,POINT (-118.223777 49.000083)
Eastport,Idaho,3302,US-Canada Border,Apr 2025,Rail Containers Loaded,13072,49.001,-116.181,POINT (-116.181027 49.000555)
Point Roberts,Washington,3017,US-Canada Border,Apr 2025,Truck Containers Loaded,322,49.002,-123.068,POINT (-123.068055556 49.0020555547)
International Falls,Minnesota,3604,US-Canada Border,Apr 2025,Rail Containers Loaded,35834,48.608,-93.401,POINT (-93.401355 48.6078)
Port Huron,Michigan,3802,US-Canada Border,Apr 2025,Truck Containers Loaded,140499,42.999,-82.424,POINT (-82.423611 42.998611)
St John,North Dakota,3405,US-Canada Border,Apr 2025,Personal Vehicles,358,48.999,-99.659,POINT (-99.659111 48.999277)
Metaline Falls,Washington,3025,US-Canada Border,Apr 2025,Truck Containers Empty,584,49.0,-117.299,POINT (-117.299444 48.999972)
Raymond,Montana,3301,US-Canada Border,Apr 2025,Bus Passengers,165,48.999,-104.574,POINT (-104.574333 48.999194)
Sweetgrass,Montana,3310,US-Canada Border,Apr 2025,Personal Vehicle Passengers,17505,48.998,-111.96,POINT (-111.959611 48.998388)
Porthill,Idaho,3308,US-Canada Border,Apr 2025,Truck Containers Loaded,17,49.0,-116.499,POINT (-116.49925 48.999861)
Roma,Texas,2310,US-Mexico Border,Apr 2025,Truck Containers Loaded,7145,26.404,-99.019,POINT (-99.018981 26.403928)
Sumas,Washington,3009,US-Canada Border,Apr 2025,Pedestrians,1009,49.002,-122.265,POINT (-122.264805 49.002388)
Vanceboro,Maine,105,US-Canada Border,Apr 2025,Personal Vehicles,613,45.569,-67.429,POINT (-67.428541 45.568761)
Highgate Springs,Vermont,212,US-Canada Border,Apr 2025,Truck Containers Loaded,11049,45.015,-73.085,POINT (-73.085037 45.015414)
Neche,North Dakota,3404,US-Canada Border,Apr 2025,Personal Vehicles,999,49.001,-97.557,POINT (-97.557333 49.000527)
Wildhorse,Montana,3323,US-Canada Border,Apr 2025,Truck Containers Loaded,3,48.999,-110.215,POINT (-110.215083 48.999361)
San Ysidro,California,2504,US-Mexico Border,Apr 2025,Personal Vehicles,1233491,32.543,-117.029,POINT (-117.028761 32.542528)
Nogales,Arizona,2604,US-Mexico Border,Apr 2025,Rail Containers Loaded,4490,31.333,-110.943,POINT (-110.942516 31.332839)
Portal,North Dakota,3403,US-Canada Border,Apr 2025,Personal Vehicle Passengers,6555,48.999,-102.552,POINT (-102.551944 48.998944)
Noonan,North Dakota,3420,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1515,48.999,-103.004,POINT (-103.004361 48.999333)
Derby Line,Vermont,209,US-Canada Border,Apr 2025,Trucks,6282,45.006,-72.099,POINT (-72.099279 45.005739)
Beecher Falls,Vermont,206,US-Canada Border,Apr 2025,Personal Vehicle Passengers,3479,45.013,-71.505,POINT (-71.505309 45.013411)
Beecher Falls,Vermont,206,US-Canada Border,Apr 2025,Truck Containers Empty,578,45.013,-71.505,POINT (-71.505309 45.013411)
Danville,Washington,3012,US-Canada Border,Apr 2025,Trucks,17,49.0,-118.504,POINT (-118.503722 49.000083)
Grand Portage,Minnesota,3613,US-Canada Border,Apr 2025,Bus Passengers,141,48.001,-89.585,POINT (-89.58515 48.001427)
Blaine,Washington,3004,US-Canada Border,Apr 2025,Trains,173,48.994,-122.749,POINT (-122.748884 48.994045)
Derby Line,Vermont,209,US-Canada Border,Apr 2025,Bus Passengers,3388,45.006,-72.099,POINT (-72.099279 45.005739)
Whitlash,Montana,3321,US-Canada Border,Apr 2025,Truck Containers Empty,3,48.997,-111.258,POINT (-111.257916 48.99725)
Hansboro,North Dakota,3415,US-Canada Border,Apr 2025,Truck Containers Empty,7,49.0,-99.347,POINT (-99.346527 48.999583)
Bridgewater,Maine,127,US-Canada Border,Apr 2025,Trucks,327,46.45,-67.785,POINT (-67.78484 46.450335)
Richford,Vermont,203,US-Canada Border,Apr 2025,Trucks,236,45.012,-72.589,POINT (-72.588559 45.01174)
Douglas,Arizona,2601,US-Mexico Border,Apr 2025,Pedestrians,76397,31.334,-109.56,POINT (-109.560344 31.334043)
Tornillo,Texas,2404,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,126881,31.435,-106.143,POINT (-106.142669 31.435334)
Highgate Springs,Vermont,212,US-Canada Border,Apr 2025,Trains,14,45.015,-73.085,POINT (-73.085037 45.015414)
Andrade,California,2502,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,100919,32.718,-114.728,POINT (-114.72832 32.718143)
Norton,Vermont,211,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1041,45.011,-71.793,POINT (-71.793219 45.010771)
Del Bonita,Montana,3322,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1495,48.999,-112.788,POINT (-112.78825 48.998555)
Madawaska,Maine,109,US-Canada Border,Apr 2025,Pedestrians,64,47.36,-68.329,POINT (-68.328684 47.360052)
Warroad,Minnesota,3423,US-Canada Border,Apr 2025,Personal Vehicle Passengers,8762,48.999,-95.377,POINT (-95.376555 48.999)
San Luis,Arizona,2608,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,492214,32.485,-114.782,POINT (-114.7822222 32.485)
Roma,Texas,2310,US-Mexico Border,Apr 2025,Personal Vehicles,75942,26.404,-99.019,POINT (-99.018981 26.403928)
Raymond,Montana,3301,US-Canada Border,Apr 2025,Truck Containers Empty,189,48.999,-104.574,POINT (-104.574333 48.999194)
Detroit,Michigan,3801,US-Canada Border,Apr 2025,Truck Containers Loaded,125410,42.332,-83.048,POINT (-83.047924 42.331685)
Nogales,Arizona,2604,US-Mexico Border,Apr 2025,Personal Vehicles,309528,31.333,-110.943,POINT (-110.942516 31.332839)
Trout River,New York,715,US-Canada Border,Apr 2025,Personal Vehicle Passengers,8864,44.992,-74.308,POINT (-74.308172 44.992058)
Eagle Pass,Texas,2303,US-Mexico Border,Apr 2025,Buses,636,28.705,-100.512,POINT (-100.511977 28.705483)
Morgan,Montana,3319,US-Canada Border,Apr 2025,Personal Vehicles,146,49.0,-107.832,POINT (-107.831819 48.999829)
Warroad,Minnesota,3423,US-Canada Border,Apr 2025,Bus Passengers,302,48.999,-95.377,POINT (-95.376555 48.999)
Antler,North Dakota,3413,US-Canada Border,Apr 2025,Truck Containers Loaded,2,48.999,-101.296,POINT (-101.296055 48.999472)
Blaine,Washington,3004,US-Canada Border,Apr 2025,Train Passengers,11536,48.994,-122.749,POINT (-122.748884 48.994045)
Hidalgo,Texas,2305,US-Mexico Border,Apr 2025,Truck Containers Empty,17544,26.095,-98.271,POINT (-98.271092 26.095032)
Whitlash,Montana,3321,US-Canada Border,Apr 2025,Personal Vehicle Passengers,49,48.997,-111.258,POINT (-111.257916 48.99725)
Rio Grande City,Texas,2307,US-Mexico Border,Apr 2025,Truck Containers Empty,284,26.366,-98.803,POINT (-98.802513 26.365761)
Van Buren,Maine,108,US-Canada Border,Apr 2025,Rail Containers Loaded,382,47.16,-67.931,POINT (-67.930799 47.159645)
Rio Grande City,Texas,2307,US-Mexico Border,Apr 2025,Trucks,2792,26.366,-98.803,POINT (-98.802513 26.365761)
Highgate Springs,Vermont,212,US-Canada Border,Apr 2025,Personal Vehicle Passengers,53985,45.015,-73.085,POINT (-73.085037 45.015414)
Bridgewater,Maine,127,US-Canada Border,Apr 2025,Pedestrians,1,46.45,-67.785,POINT (-67.78484 46.450335)
Champlain Rouses Point,New York,712,US-Canada Border,Apr 2025,Buses,670,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Hidalgo,Texas,2305,US-Mexico Border,Apr 2025,Buses,982,26.095,-98.271,POINT (-98.271092 26.095032)
Eastport,Idaho,3302,US-Canada Border,Apr 2025,Rail Containers Empty,754,49.001,-116.181,POINT (-116.181027 49.000555)
Presidio,Texas,2403,US-Mexico Border,Apr 2025,Pedestrians,20430,29.562,-104.395,POINT (-104.394907 29.561827)
Frontier,Washington,3020,US-Canada Border,Apr 2025,Personal Vehicles,1777,49.0,-117.832,POINT (-117.831527 49.0005)
Baudette,Minnesota,3424,US-Canada Border,Apr 2025,Personal Vehicle Passengers,13776,48.719,-94.59,POINT (-94.590467 48.719109)
Neche,North Dakota,3404,US-Canada Border,Apr 2025,Truck Containers Empty,90,49.001,-97.557,POINT (-97.557333 49.000527)
Scobey,Montana,3309,US-Canada Border,Apr 2025,Truck Containers Loaded,34,49.0,-105.408,POINT (-105.407638 48.999527)
Brownsville,Texas,2301,US-Mexico Border,Apr 2025,Rail Containers Loaded,1977,25.952,-97.401,POINT (-97.40067 25.95155)
Massena,New York,704,US-Canada Border,Apr 2025,Truck Containers Loaded,2039,44.991,-74.74,POINT (-74.739722 44.990556)
Algonac,Michigan,3814,US-Canada Border,Apr 2025,Personal Vehicle Passengers,2766,42.618,-82.531,POINT (-82.5311 42.6183)
Norton,Vermont,211,US-Canada Border,Apr 2025,Personal Vehicles,697,45.011,-71.793,POINT (-71.793219 45.010771)
Maida,North Dakota,3416,US-Canada Border,Apr 2025,Personal Vehicles,204,49.0,-98.365,POINT (-98.36525 49.00025)
Boundary,Washington,3015,US-Canada Border,Apr 2025,Train Passengers,86,49.001,-117.628,POINT (-117.627583 49.00075)
Richford,Vermont,203,US-Canada Border,Apr 2025,Truck Containers Loaded,131,45.012,-72.589,POINT (-72.588559 45.01174)
International Falls,Minnesota,3604,US-Canada Border,Apr 2025,Trains,313,48.608,-93.401,POINT (-93.401355 48.6078)
Santa Teresa,New Mexico,2408,US-Mexico Border,Apr 2025,Truck Containers Empty,4968,31.784,-106.679,POINT (-106.679437 31.783939)
Danville,Washington,3012,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1638,49.0,-118.504,POINT (-118.503722 49.000083)
Van Buren,Maine,108,US-Canada Border,Apr 2025,Trains,34,47.16,-67.931,POINT (-67.930799 47.159645)
Pinecreek,Minnesota,3425,US-Canada Border,Apr 2025,Personal Vehicle Passengers,235,49.0,-95.978,POINT (-95.977694 48.999916)
Boquillas,Texas,2410,US-Mexico Border,Apr 2025,Pedestrians,2670,29.19,-102.947,POINT (-102.946705 29.190074)
Oroville,Washington,3019,US-Canada Border,Apr 2025,Pedestrians,163,49.0,-119.462,POINT (-119.461833 49.000083)
Lancaster,Minnesota,3430,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1672,49.0,-96.801,POINT (-96.800527 49.000194)
Fort Fairfield,Maine,107,US-Canada Border,Apr 2025,Personal Vehicle Passengers,6274,46.765,-67.789,POINT (-67.789471 46.765323)
Douglas,Arizona,2601,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,229958,31.334,-109.56,POINT (-109.560344 31.334043)
Turner,Montana,3306,US-Canada Border,Apr 2025,Personal Vehicles,292,49.0,-108.388,POINT (-108.387916 48.999527)
Laredo,Texas,2304,US-Mexico Border,Apr 2025,Trucks,252962,27.5,-99.507,POINT (-99.507412 27.499561)
Port Huron,Michigan,3802,US-Canada Border,Apr 2025,Truck Containers Empty,10762,42.999,-82.424,POINT (-82.423611 42.998611)
Buffalo Niagara Falls,New York,901,US-Canada Border,Apr 2025,Truck Containers Loaded,96506,43.095,-79.056,POINT (-79.055847 43.09549)
Del Rio,Texas,2302,US-Mexico Border,Apr 2025,Trucks,6420,29.327,-100.928,POINT (-100.927612 29.326784)
Sweetgrass,Montana,3310,US-Canada Border,Apr 2025,Buses,2,48.998,-111.96,POINT (-111.959611 48.998388)
San Luis,Arizona,2608,US-Mexico Border,Apr 2025,Truck Containers Loaded,4771,32.485,-114.782,POINT (-114.7822222 32.485)
Dunseith,North Dakota,3422,US-Canada Border,Apr 2025,Personal Vehicles,2194,48.999,-100.052,POINT (-100.052166 48.999277)
Naco,Arizona,2603,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,53156,31.334,-109.948,POINT (-109.948413 31.334084)
Detroit,Michigan,3801,US-Canada Border,Apr 2025,Rail Containers Loaded,8074,42.332,-83.048,POINT (-83.047924 42.331685)
Calexico East,California,2507,US-Mexico Border,Apr 2025,Trucks,38238,32.673,-115.388,POINT (-115.388018 32.673389)
Sweetgrass,Montana,3310,US-Canada Border,Apr 2025,Trucks,11313,48.998,-111.96,POINT (-111.959611 48.998388)
El Paso,Texas,2402,US-Mexico Border,Apr 2025,Pedestrians,417965,31.764,-106.451,POINT (-106.451188 31.764363)
Hannah,North Dakota,3408,US-Canada Border,Apr 2025,Trucks,2,49.0,-98.694,POINT (-98.693777 49.000138)
Nogales,Arizona,2604,US-Mexico Border,Apr 2025,Buses,896,31.333,-110.943,POINT (-110.942516 31.332839)
Buffalo Niagara Falls,New York,901,US-Canada Border,Apr 2025,Rail Containers Empty,3830,43.095,-79.056,POINT (-79.055847 43.09549)
Warroad,Minnesota,3423,US-Canada Border,Apr 2025,Truck Containers Loaded,501,48.999,-95.377,POINT (-95.376555 48.999)
Madawaska,Maine,109,US-Canada Border,Apr 2025,Personal Vehicles,15826,47.36,-68.329,POINT (-68.328684 47.360052)
Ferry,Washington,3013,US-Canada Border,Apr 2025,Personal Vehicles,517,49.0,-118.761,POINT (-118.761166 49.000083)
Limestone,Maine,118,US-Canada Border,Apr 2025,Pedestrians,3,46.925,-67.79,POINT (-67.789597 46.924555)
Norton,Vermont,211,US-Canada Border,Apr 2025,Trucks,412,45.011,-71.793,POINT (-71.793219 45.010771)
Buffalo Niagara Falls,New York,901,US-Canada Border,Apr 2025,Buses,666,43.095,-79.056,POINT (-79.055847 43.09549)
Richford,Vermont,203,US-Canada Border,Apr 2025,Rail Containers Empty,36,45.012,-72.589,POINT (-72.588559 45.01174)
Alexandria Bay,New York,708,US-Canada Border,Apr 2025,Personal Vehicle Passengers,49621,44.347,-75.984,POINT (-75.983592 44.347229)
Fort Kent,Maine,110,US-Canada Border,Apr 2025,Personal Vehicles,4354,47.249,-68.604,POINT (-68.603918 47.249206)
Warroad,Minnesota,3423,US-Canada Border,Apr 2025,Trucks,433,48.999,-95.377,POINT (-95.376555 48.999)
Jackman,Maine,104,US-Canada Border,Apr 2025,Bus Passengers,56,45.806,-70.397,POINT (-70.396722 45.805661)
Point Roberts,Washington,3017,US-Canada Border,Apr 2025,Trucks,745,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Blaine,Washington,3004,US-Canada Border,Apr 2025,Pedestrians,2592,48.994,-122.749,POINT (-122.748884 48.994045)
Skagway,Alaska,3103,US-Canada Border,Apr 2025,Buses,209,59.63,-135.164,POINT (-135.164444 59.629722)
Northgate,North Dakota,3406,US-Canada Border,Apr 2025,Pedestrians,5,48.999,-102.275,POINT (-102.27475 48.998833)
Calais,Maine,115,US-Canada Border,Apr 2025,Trucks,3970,45.189,-67.275,POINT (-67.275381 45.188548)
San Ysidro,California,2504,US-Mexico Border,Apr 2025,Pedestrians,589333,32.543,-117.029,POINT (-117.028761 32.542528)
Houlton,Maine,106,US-Canada Border,Apr 2025,Truck Containers Loaded,11159,46.135,-67.781,POINT (-67.781288 46.134879)
Hannah,North Dakota,3408,US-Canada Border,Apr 2025,Personal Vehicle Passengers,40,49.0,-98.694,POINT (-98.693777 49.000138)
Eastport,Idaho,3302,US-Canada Border,Apr 2025,Truck Containers Empty,1306,49.001,-116.181,POINT (-116.181027 49.000555)
San Luis,Arizona,2608,US-Mexico Border,Apr 2025,Bus Passengers,2,32.485,-114.782,POINT (-114.7822222 32.485)
Otay Mesa,California,2506,US-Mexico Border,Apr 2025,Trains,19,32.55,-116.939,POINT (-116.938538 32.55033)
Massena,New York,704,US-Canada Border,Apr 2025,Pedestrians,25,44.991,-74.74,POINT (-74.739722 44.990556)
Piegan,Montana,3316,US-Canada Border,Apr 2025,Personal Vehicles,3487,48.998,-113.379,POINT (-113.378777 48.998083)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Apr 2025,Rail Containers Empty,112,46.509,-84.361,POINT (-84.360833 46.508611)
Ysleta,Texas,2401,US-Mexico Border,Apr 2025,Truck Containers Loaded,64866,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Laredo,Texas,2304,US-Mexico Border,Apr 2025,Rail Containers Empty,21872,27.5,-99.507,POINT (-99.507412 27.499561)
Limestone,Maine,118,US-Canada Border,Apr 2025,Trucks,58,46.925,-67.79,POINT (-67.789597 46.924555)
Progreso,Texas,2309,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,250217,26.062,-97.95,POINT (-97.949958 26.062133)
Port Huron,Michigan,3802,US-Canada Border,Apr 2025,Personal Vehicles,55112,42.999,-82.424,POINT (-82.423611 42.998611)
Calexico East,California,2507,US-Mexico Border,Apr 2025,Bus Passengers,108,32.673,-115.388,POINT (-115.388018 32.673389)
Santa Teresa,New Mexico,2408,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,113157,31.784,-106.679,POINT (-106.679437 31.783939)
Jackman,Maine,104,US-Canada Border,Apr 2025,Train Passengers,63,45.806,-70.397,POINT (-70.396722 45.805661)
Roseau,Minnesota,3426,US-Canada Border,Apr 2025,Personal Vehicles,1613,49.0,-95.766,POINT (-95.766469 48.999538)
Dalton Cache,Alaska,3106,US-Canada Border,Apr 2025,Personal Vehicles,700,59.451,-136.362,POINT (-136.361944 59.450556)
Eastport,Maine,103,US-Canada Border,Apr 2025,Personal Vehicles,7947,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Walhalla,North Dakota,3407,US-Canada Border,Apr 2025,Personal Vehicle Passengers,2286,49.0,-97.908,POINT (-97.908416 49.000472)
Sarles,North Dakota,3409,US-Canada Border,Apr 2025,Truck Containers Empty,14,49.0,-98.938,POINT (-98.938361 49.000027)
Calais,Maine,115,US-Canada Border,Apr 2025,Personal Vehicle Passengers,40310,45.189,-67.275,POINT (-67.275381 45.188548)
Pembina,North Dakota,3401,US-Canada Border,Apr 2025,Personal Vehicle Passengers,25099,49.0,-97.237,POINT (-97.237036 49.000453)
Trout River,New York,715,US-Canada Border,Apr 2025,Truck Containers Empty,283,44.992,-74.308,POINT (-74.308172 44.992058)
Portal,North Dakota,3403,US-Canada Border,Apr 2025,Truck Containers Loaded,9442,48.999,-102.552,POINT (-102.551944 48.998944)
Brownsville,Texas,2301,US-Mexico Border,Apr 2025,Bus Passengers,3002,25.952,-97.401,POINT (-97.40067 25.95155)
